,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
0,AP,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
1,Assam,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
2,Bihar,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
3,Delhi,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
4,Gujarat,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
5,HP,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
6,Haryana,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
7,J&K,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
8,Karnataka,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
9,Kerala,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
10,Kolkata,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
11,MP,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
12,Maharashtra,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
13,Mumbai,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
14,NE,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
15,Odisha,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
16,Punjab,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
17,Rajasthan,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
18,TN,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
19,UP(East),700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
20,UP(West),700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
21,WB,700,Reliance Jio,"723.0-733.0,10.0",723.0-733.0
22,Assam,800,Reliance Jio,"834.0-839.0,5.0",834.0-839.0
23,J&K,800,Reliance Jio,"834.0-839.0,5.0",834.0-839.0
24,NE,800,Reliance Jio,"834.0-839.0,5.0",834.0-839.0
25,UP(West),800,Reliance Jio,"836.5-841.5,5.0",836.5-841.5
26,Assam,900,Bharti Airtel,"903.1-905.7,912.1-913.3,2.6,1.2",903.1-905.7
27,Assam,900,Bharti Airtel,"903.1-905.7,912.1-913.3,2.6,1.2",912.1-913.3
28,J&K,900,Bharti Airtel,"901.9-906.9,5.0",901.9-906.9
29,NE,900,Bharti Airtel,"904.5-907.1,913.5-914.9,2.6,1.4",904.5-907.1
30,NE,900,Bharti Airtel,"904.5-907.1,913.5-914.9,2.6,1.4",913.5-914.9
31,AP,1800,Vodafone,"1748.1-1751.5,3.4",1748.1-1751.5
32,Gujarat,1800,Reliance Jio,"1750.9-1760.9,10.0",1750.9-1760.9
33,HP,1800,Bharti Airtel,"1746.7-1751.7,5.0",1746.7-1751.7
34,Kolkata,1800,Bharti Airtel,"1745.1-1750.1,5.0",1745.1-1750.1
35,MP,1800,Reliance Jio,"1753.7-1763.7,10.0",1753.7-1763.7
36,Maharashtra,1800,Bharti Airtel,"1757.5-1762.5,5.0",1757.5-1762.5
37,Maharashtra,1800,Reliance Jio,"1747.5-1757.5,10.0",1747.5-1757.5
38,Mumbai,1800,Bharti Airtel,"1764.9-1768.9,4.0",1764.9-1768.9
39,Odisha,1800,Bharti Airtel,"1755.9-1756.1,1774.9-1779.9,0.2,5.0",1755.9-1756.1
40,Odisha,1800,Bharti Airtel,"1755.9-1756.1,1774.9-1779.9,0.2,5.0",1774.9-1779.9
41,Odisha,1800,Reliance Jio,"1764.9-1774.9,10.0",1764.9-1774.9
42,Rajasthan,1800,Reliance Jio,"1748.1-1753.1,1758.7-1763.7,5.0,5.0",1748.1-1753.1
43,Rajasthan,1800,Reliance Jio,"1748.1-1753.1,1758.7-1763.7,5.0,5.0",1758.7-1763.7
44,UP(East),1800,Bharti Airtel,"1745.1-1745.3,1752.5-1753.1,0.2,0.6",1745.1-1745.3
45,UP(East),1800,Bharti Airtel,"1745.1-1745.3,1752.5-1753.1,0.2,0.6",1752.5-1753.1
46,UP(East),1800,Reliance Jio,"1747.1-1749.1,1751.9-1752.5,1757.5-1764.9,2.0,0.6,7.4",1747.1-1749.1
47,UP(East),1800,Reliance Jio,"1747.1-1749.1,1751.9-1752.5,1757.5-1764.9,2.0,0.6,7.4",1751.9-1752.5
48,UP(East),1800,Reliance Jio,"1747.1-1749.1,1751.9-1752.5,1757.5-1764.9,2.0,0.6,7.4",1757.5-1764.9
49,Bihar,2100,Bharti Airtel,"1954.0-1959.0,5.0",1954.0-1959.0
50,Delhi,2100,Bharti Airtel,"1949.0-1954.0,5.0",1949.0-1954.0
51,Gujarat,2100,Bharti Airtel,"1939.0-1944.0,5.0",1939.0-1944.0
52,Haryana,2100,Bharti Airtel,"1974.0-1979.0,5.0",1974.0-1979.0
53,Karnataka,2100,Vodafone,"1949.0-1954.0,5.0",1949.0-1954.0
54,Kerala,2100,Bharti Airtel,"1949.0-1954.0,5.0",1949.0-1954.0
55,WB,2100,Bharti Airtel,"1959.0-1964.0,5.0",1959.0-1964.0
56,AP,2500,Vodafone,"2535.0-2545.0,10.0",2535.0-2545.0
57,Punjab,2500,Vodafone,"2545.0-2555.0,10.0",2545.0-2555.0
58,AP,3300,Bharti Airtel,"3400.0-3500.0,100.0",3400.0-3500.0
59,AP,3300,Reliance Jio,"3500.0-3600.0,100.0",3500.0-3600.0
60,AP,3300,Vodafone,"3350.0-3400.0,50.0",3350.0-3400.0
61,Assam,3300,Bharti Airtel,"3400.0-3500.0,100.0",3400.0-3500.0
62,Assam,3300,Reliance Jio,"3500.0-3600.0,100.0",3500.0-3600.0
63,Bihar,3300,Bharti Airtel,"3400.0-3500.0,100.0",3400.0-3500.0
64,Bihar,3300,Reliance Jio,"3500.0-3600.0,100.0",3500.0-3600.0
65,Bihar,3300,Vodafone,"3350.0-3400.0,50.0",3350.0-3400.0
66,Delhi,3300,Bharti Airtel,"3400.0-3500.0,100.0",3400.0-3500.0
67,Delhi,3300,Reliance Jio,"3500.0-3600.0,100.0",3500.0-3600.0
68,Delhi,3300,Vodafone,"3350.0-3400.0,50.0",3350.0-3400.0
69,Gujarat,3300,Bharti Airtel,"3400.0-3500.0,100.0",3400.0-3500.0
70,Gujarat,3300,Reliance Jio,"3500.0-3600.0,100.0",3500.0-3600.0
71,Gujarat,3300,Vodafone,"3350.0-3400.0,50.0",3350.0-3400.0
72,HP,3300,Bharti Airtel,"3370.0-3470.0,100.0",3370.0-3470.0
73,HP,3300,Reliance Jio,"3470.0-3600.0,130.0",3470.0-3600.0
74,Haryana,3300,Bharti Airtel,"3400.0-3500.0,100.0",3400.0-3500.0
