Service_Area,Band,Company_Name,"Frequency, Quantum"
Maharashtra,3300,Vodafone,"[[(3350.0- 3400.0)], [50.0]]"
Mumbai,3300,Airtel,"[[(3400.0- 3500.0)], [100.0]]"
Mumbai,3300,Jio,"[[(3500.0- 3600.0)], [100.0]]"
Mumbai,3300,Vodafone,"[[(3350.0- 3400.0)], [50.0]]"
NE,3300,Airtel,"[[(3370.0- 3470.0)], [100.0]]"
NE,3300,Jio,"[[(3470.0- 3600.0)], [130.0]]"
Odisha,3300,Airtel,"[[(3400.0- 3500.0)], [100.0]]"
Odisha,3300,Jio,"[[(3500.0- 3600.0)], [100.0]]"
Punjab,3300,Airtel,"[[(3400.0- 3500.0)], [100.0]]"
Punjab,3300,Jio,"[[(3500.0- 3600.0)], [100.0]]"
Punjab,3300,Vodafone,"[[(3350.0- 3400.0)], [50.0]]"
Rajasthan,3300,Airtel,"[[(3370.0- 3470.0)], [100.0]]"
Rajasthan,3300,Jio,"[[(3470.0- 3600.0)], [130.0]]"
Rajasthan,3300,Vodafone,"[[(3320.0- 3370.0)], [50.0]]"
TN,3300,Airtel,"[[(3400.0- 3500.0)], [100.0]]"
TN,3300,Jio,"[[(3500.0- 3600.0)], [100.0]]"
TN,3300,Vodafone,"[[(3350.0- 3400.0)], [50.0]]"
UP(East),3300,Airtel,"[[(3400.0- 3500.0)], [100.0]]"
UP(East),3300,Jio,"[[(3500.0- 3600.0)], [100.0]]"
UP(East),3300,Vodafone,"[[(3350.0- 3400.0)], [50.0]]"
UP(West),3300,Airtel,"[[(3370.0- 3470.0)], [100.0]]"
UP(West),3300,Jio,"[[(3470.0- 3600.0)], [130.0]]"
UP(West),3300,Vodafone,"[[(3320.0- 3370.0)], [50.0]]"
WB,3300,Airtel,"[[(3400.0- 3500.0)], [100.0]]"
WB,3300,Jio,"[[(3500.0- 3600.0)], [100.0]]"
WB,3300,Vodafone,"[[(3350.0- 3400.0)], [50.0]]"
AP,26,Adani,"[[(25650.0- 25700.0)], [50.0]]"
AP,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
AP,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
AP,26,Vodafone,"[[(25450.0- 25650.0)], [200.0]]"
Assam,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Assam,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Bihar,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Bihar,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Delhi,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Delhi,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Delhi,26,Vodafone,"[[(25500.0- 25700.0)], [200.0]]"
Gujarat,26,Adani,"[[(25600.0- 25700.0)], [100.0]]"
Gujarat,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Gujarat,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Gujarat,26,Vodafone,"[[(25150.0- 25600.0)], [450.0]]"
HP,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
HP,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Haryana,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Haryana,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Haryana,26,Vodafone,"[[(25300.0- 25700.0)], [400.0]]"
J&K,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
J&K,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Karnataka,26,Adani,"[[(25650.0- 25700.0)], [50.0]]"
Karnataka,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Karnataka,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Karnataka,26,Vodafone,"[[(25450.0- 25650.0)], [200.0]]"
Kerala,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Kerala,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Kerala,26,Vodafone,"[[(24900.0- 25700.0)], [800.0]]"
Kolkata,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Kolkata,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Kolkata,26,Vodafone,"[[(25500.0- 25700.0)], [200.0]]"
MP,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
MP,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
MP,26,Vodafone,"[[(25300.0- 25700.0)], [400.0]]"
Maharashtra,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Maharashtra,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Maharashtra,26,Vodafone,"[[(25300.0- 25700.0)], [400.0]]"
Mumbai,26,Adani,"[[(25600.0- 25700.0)], [100.0]]"
Mumbai,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Mumbai,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Mumbai,26,Vodafone,"[[(25400.0- 25600.0)], [200.0]]"
NE,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
NE,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Odisha,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Odisha,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Punjab,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Punjab,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Punjab,26,Vodafone,"[[(25400.0- 25700.0)], [300.0]]"
Rajasthan,26,Adani,"[[(25650.0- 25700.0)], [50.0]]"
Rajasthan,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
Rajasthan,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
Rajasthan,26,Vodafone,"[[(25350.0- 25650.0)], [300.0]]"
TN,26,Adani,"[[(25650.0- 25700.0)], [50.0]]"
TN,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
TN,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
TN,26,Vodafone,"[[(25350.0- 25650.0)], [300.0]]"
UP(East),26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
UP(East),26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
UP(East),26,Vodafone,"[[(25450.0- 25700.0)], [250.0]]"
UP(West),26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
UP(West),26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
UP(West),26,Vodafone,"[[(25350.0- 25700.0)], [350.0]]"
WB,26,Airtel,"[[(25700.0- 26500.0)], [800.0]]"
WB,26,Jio,"[[(26500.0- 27500.0)], [1000.0]]"
WB,26,Vodafone,"[[(25300.0- 25700.0)], [400.0]]"
