Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,"Downlink_Start","Downlink_Stop"
Andhra Pradesh,800,757.48,TTSL,827.175,828.405,872.175,873.405
,,,,828.405,829.635,873.405,874.635
,,,,829.635,830.865,874.635,875.865
Assam,800,102.77,RCOM,838.515,839.745,883.515,884.745
,,,,839.745,840.975,884.745,885.975
,,,,840.975,842.205,885.975,887.205
,,,,842.205,843.435,887.205,888.435
,,,Reliance JIO,829.935,831.165,874.935,876.165
,,,,831.165,832.395,876.165,877.395
,,,,832.395,833.625,877.395,878.625
,,,,833.625,834.855,878.625,879.855
Bihar,800,107.31,Reliance JIO,840.975,842.205,885.975,887.205
,,,,842.205,843.435,887.205,888.435
,,,,828.405,829.635,873.405,874.635
,,,,833.925,835.155,878.925,880.155
Delhi,800,1059.62,TTSL,824.415,825.645,869.415,870.645
Gujarat,800,347.18,RCOM,836.985,838.215,881.985,883.215
,,,,838.215,839.445,883.215,884.445
Haryana,800,70.71,RCOM,824.415,825.645,869.415,870.645
,,,Reliance JIO,827.175,828.405,872.175,873.405
,,,,839.745,840.975,884.745,885.975
,,,,840.975,842.205,885.975,887.205
,,,,842.205,843.435,887.205,888.435
,,,TTSL,828.405,829.635,873.405,874.635
Himachal Pradesh,800,24.46,RCOM,828.405,829.635,873.405,874.635
,,,,829.635,830.865,874.635,875.865
,,,Reliance JIO,839.745,840.975,884.745,885.975
,,,,840.975,842.205,885.975,887.205
,,,,842.205,843.435,887.205,888.435
,,,,833.925,835.155,878.925,880.155
Jammu & Kashmir,800,35.35,RCOM,832.695,833.925,877.695,878.925
,,,,832.925,835.155,878.925,880.155
,,,Reliance JIO,835.155,836.385,880.155,881.385
,,,,839.745,840.975,884.745,885.975
,,,,840.975,842.205,885.975,887.205
,,,,842.205,843.435,887.205,888.435
Kolkata,800,183.75,RCOM,827.175,828.405,872.175,873.405
Madhya Pradesh,800,510.49,Reliance JIO,829.935,831.165,874.935,876.165
,,,,831.165,832.395,876.165,877.395
,,,,832.395,833.625,877.395,878.625
,,,,833.625,834.855,878.625,879.855
Maharashtra,800,999.27,TTSL,829.935,831.165,874.935,876.165
,,,,831.165,832.395,876.165,877.395
Mumbai,800,909.37,Reliance JIO,832.995,834.225,877.995,879.225
,,,,834.225,835.455,879.225,880.455
,,,,835.455,836.685,880.455,881.685
,,,,836.685,837.915,881.685,882.915
,,,TTSL,829.935,831.165,874.935,876.165
,,,,831.165,832.395,876.165,877.395
North East,800,31.72,RCOM,829.935,831.165,874.935,876.165
,,,,831.165,832.395,876.165,877.395
,,,,832.395,833.625,877.395,878.625
,,,,833.625,834.855,878.625,879.855
,,,Reliance JIO,838.515,839.745,883.515,884.745
,,,,839.745,840.975,884.745,885.975
,,,,840.975,842.205,885.975,887.205
,,,,842.205,843.435,887.205,888.435
Odisha,800,51.3,RCOM,828.405,829.635,873.405,874.635
,,,Reliance JIO,839.745,840.975,884.745,885.975
,,,,840.975,842.205,885.975,887.205
,,,,842.205,843.435,887.205,888.435
,,,,833.925,835.155,878.925,880.155
Punjab,800,107.31,RCOM,832.605,833.835,877.605,878.835
,,,,833.835,835.065,878.835,880.065
Uttar Pradesh (E),800,167.5,Reliance JIO,840.975,842.205,885.975,887.205
