,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
0,Andhra Pradesh,900,Vodafone,"906.1-908.5,2.4",906.1-908.5
1,Assam,900,Bharti Airtel,"891.3-896.3,5.0",891.3-896.3
2,Bihar,900,Bharti Airtel,"894.9-901.9,7.0",894.9-901.9
3,Jammu &Kashmir,900,Bharti Airtel,"890.7-900.7,10.0",890.7-900.7
4,Karnataka,900,Vodafone,"906.3-908.5,2.2",906.3-908.5
5,Kolkata,900,Vodafone,"906.7-906.9,0.2",906.7-906.9
6,North East,900,Bharti Airtel,"893.5-894.5,1.0",893.5-894.5
7,Odisha,900,Bharti Airtel,"891.3-896.3,5.0",891.3-896.3
8,Punjab,900,Vodafone,"905.7-906.9,1.2",905.7-906.9
9,Rajasthan,900,Bharti Airtel,"902.9-906.9,4.0",902.9-906.9
10,Rajasthan,900,Vodafone,"902.5-902.9,0.4",902.5-902.9
11,Tamil Nadu,900,Vodafone,"894.7-897.1,2.4",894.7-897.1
12,Uttar Pradesh(East),900,Bharti Airtel,"891.3-896.3,5.0",891.3-896.3
13,Uttar Pradesh(East),900,Vodafone,"890.1-891.3,1.2",890.1-891.3
14,Uttar Pradesh(West),900,Vodafone,"901.9-906.9,5.0",901.9-906.9
15,West Bengal,900,Bharti Airtel,"893.1-898.1,5.0",893.1-898.1
16,West Bengal,900,Vodafone,"890.1-893.1,906.1-906.9,3.0-0.8",890.1-893.1
17,West Bengal,900,Vodafone,"890.1-893.1,906.1-906.9,3.0-0.8",906.1-906.9
18,Assam,1800,Bharti Airtel,"1756.3-1760.3,4.0",1756.3-1760.3
19,Bihar,1800,Bharti Airtel,"1756.3-1761.5,5.2",1756.3-1761.5
20,Bihar,1800,Reliance Jio,"1748.5-1748.7,1750.5-1750.9,1752.7-1753.7,1761.5-1764.9,0.2-0.4-1.0-3.4",1748.5-1748.7
21,Bihar,1800,Reliance Jio,"1748.5-1748.7,1750.5-1750.9,1752.7-1753.7,1761.5-1764.9,0.2-0.4-1.0-3.4",1750.5-1750.9
22,Bihar,1800,Reliance Jio,"1748.5-1748.7,1750.5-1750.9,1752.7-1753.7,1761.5-1764.9,0.2-0.4-1.0-3.4",1752.7-1753.7
23,Bihar,1800,Reliance Jio,"1748.5-1748.7,1750.5-1750.9,1752.7-1753.7,1761.5-1764.9,0.2-0.4-1.0-3.4",1761.5-1764.9
24,Haryana,1800,Bharti Airtel,"1746.5-1751.5,5.0",1746.5-1751.5
25,Kolkata,1800,Bharti Airtel,"1753.3-1758.3,5.0",1753.3-1758.3
26,Madhya Pradesh,1800,Vodafone,"1763.7-1764.9,1.2",1763.7-1764.9
27,Odisha,1800,Bharti Airtel,"1771.7-1772.7,1.0",1771.7-1772.7
28,Punjab,1800,Bharti Airtel,"1750.7-1755.7,5.0",1750.7-1755.7
29,Rajasthan,1800,Bharti Airtel,"1751.7-1756.7,5.0",1751.7-1756.7
30,Uttar Pradesh(East),1800,Bharti Airtel,"1757.7-1758.7,1.0",1757.7-1758.7
31,West Bengal,1800,Bharti Airtel,"1732.1-1733.9,1748.5-1750.3,1754.1-1754.3,1.8-1.8-0.2",1732.1-1733.9
32,West Bengal,1800,Bharti Airtel,"1732.1-1733.9,1748.5-1750.3,1754.1-1754.3,1.8-1.8-0.2",1748.5-1750.3
33,West Bengal,1800,Bharti Airtel,"1732.1-1733.9,1748.5-1750.3,1754.1-1754.3,1.8-1.8-0.2",1754.1-1754.3
34,West Bengal,1800,Reliance Jio,"1755.5-1764.9,9.4",1755.5-1764.9
35,Assam,2100,Bharti Airtel,"1949.0-1954.0,5.0",1949.0-1954.0
36,Jammu &Kashmir,2100,Bharti Airtel,"1974.0-1979.0,5.0",1974.0-1979.0
37,North East,2100,Bharti Airtel,"1969.0-1974.0,5.0",1969.0-1974.0
38,Uttar Pradesh(West),2100,Bharti Airtel,"1949.0-1954.0,5.0",1949.0-1954.0
39,Bihar,2500,Vodafone,"2545.0-2555.0,10.0",2545.0-2555.0
