Service_Area,Band,Company_Name,"Frequency,Quantum"
Delhi,800,SSTL,"[[828.405- 829.635,840.975- 843.435],[1.23, 2.46]]"
Gujarat,800,SSTL,"[[827.175- 829.635, 835.455- 836.685],[2.46, 1.23]]"
Karnataka,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]"
Kerala,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]"
Kolkata,800,SSTL,"[[831.465- 832.695,834.555- 837.015],[1.23, 2.46]]"
Tamil Nadu,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]"
"Uttar Pradesh (W)",800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]"
West Bengal,800,SSTL,"[[831.165- 832.395, 835.155- 837.615],[1.23, 2.46]]"
