Service_Area,Band,Company_Name,"Frequency, Quantum"
Madhya Pradesh,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
Madhya Pradesh,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Maharashtra,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
Maharashtra,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Mumbai,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
North East,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
North East,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Odisha,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
Odisha,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Punjab,2300,Bharti Airtel,"[[(2360.0- 2380.0)], [20.0]]"
Punjab,2300,Reliance Jio,"[[(2320.0- 2340.0)], [20.0]]"
Rajasthan,2300,Bharti Airtel,"[[(2360.0- 2380.0)], [20.0]]"
Rajasthan,2300,Reliance Jio,"[[(2320.0- 2340.0)], [20.0]]"
Tamil Nadu,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Uttar Pradesh (East),2300,Bharti Airtel,"[[(2360.0- 2380.0)], [20.0]]"
Uttar Pradesh (East),2300,Reliance Jio,"[[(2320.0- 2340.0)], [20.0]]"
Uttar Pradesh (West),2300,Bharti Airtel,"[[(2360.0- 2380.0)], [20.0]]"
Uttar Pradesh (West),2300,Reliance Jio,"[[(2320.0- 2340.0)], [20.0]]"
West Bengal,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
West Bengal,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
