Service_Area,Band,Company_Name,"Frequency, Quantum"
Andhra Pradesh,800,Reliance Jio,"[[(825.95- 830.87), (835.46- 836.69)], [4.92, 1.23]]"
Bihar,800,Reliance Jio,"[[(833.0- 837.92)], [4.92]]"
Delhi,800,Reliance Jio,"[[(824.42- 828.11), (829.94- 834.86)], [3.69, 4.92]]"
Gujarat,800,Reliance Jio,"[[(824.42- 826.88), (829.94- 832.4)], [2.46, 2.46]]"
Haryana,800,Bharti Airtel,"[[(824.42- 825.65), (825.95- 827.18), (833.93- 835.16)], [1.23, 1.23, 1.23]]"
Haryana,800,Reliance Jio,"[[(827.48- 831.17), (832.7- 833.93)], [3.69, 1.23]]"
HimachalPradesh,800,Reliance Jio,"[[(825.95- 829.64), (829.94- 831.17)], [3.69, 1.23]]"
Karnataka,800,Reliance Jio,"[[(824.42- 826.88), (829.94- 832.4), (835.46- 840.38)], [2.46, 2.46, 4.92]]"
Kerala,800,Reliance Jio,"[[(824.42- 828.11), (829.94- 831.17), (835.46- 840.38)], [3.69, 1.23, 4.92]]"
Kolkata,800,Reliance Jio,"[[(825.95- 828.41), (828.71- 831.17), (838.52- 843.44)], [2.46, 2.46, 4.92]]"
Madhya Pradesh 800,800,Bharti Airtel,"[[(824.42- 826.88), (827.48- 829.94)], [2.46, 2.46]]"
Madhya Pradesh 800,800,Reliance Jio,"[[(835.46- 840.38)], [4.92]]"
Maharashtra,800,Bharti Airtel,"[[(832.7- 835.16)], [2.46]]"
Maharashtra,800,Reliance Jio,"[[(827.48- 832.4), (835.76- 840.68)], [4.92, 4.92]]"
Mumbai,800,Reliance Jio,"[[(827.48- 832.4), (837.92- 840.38)], [4.92, 2.46]]"
Odisha,800,Reliance Jio,"[[(825.95- 829.64), (834.23- 835.46)], [3.69, 1.23]]"
Punjab,800,Reliance Jio,"[[(831.77- 835.46), (839.75- 842.21)], [3.69, 2.46]]"
Rajasthan,800,Reliance Jio,"[[(829.94- 831.17), (837.92- 841.61)], [1.23, 3.69]]"
Tamil Nadu,800,Reliance Jio,"[[(824.42- 826.88), (829.94- 832.4), (835.46- 840.38)], [2.46, 2.46, 4.92]]"
Uttar Pradesh(East),800,Reliance Jio,"[[(833.0- 837.92)], [4.92]]"
Uttar Pradesh(West),800,Bharti Airtel,"[[(824.42- 828.11), (836.69- 837.92)], [3.69, 1.23]]"
Uttar Pradesh(West),800,Reliance Jio,"[[(829.94- 834.86)], [4.92]]"
West Bengal,800,Reliance Jio,"[[(824.42- 826.88), (827.18- 828.41), (828.71- 831.17), (837.92- 841.61)], [2.46, 1.23, 2.46, 3.69]]"
Bihar,900,Bharti Airtel,"[[(903.7- 907.1)], [3.4]]"
Gujarat,900,Bharti Airtel,"[[(901.1- 902.5), (910.5- 912.1), (913.5- 914.1), (914.3- 914.9)], [1.4, 1.6, 0.6, 0.6]]"
HimachalPradesh,900,Bharti Airtel,"[[(904.5- 907.1)], [2.6]]"
Kerala,900,Bharti Airtel,"[[(902.5- 907.1)], [4.6]]"
North East,900,Bharti Airtel,"[[(912.1- 913.3)], [1.2]]"
Odisha,900,Bharti Airtel,"[[(903.3- 907.1)], [3.8]]"
Tamil Nadu,900,Bharti Airtel,"[[(902.1- 907.1)], [5.0]]"
Tamil Nadu,900,Vodafone,"[[(897.1- 902.1)], [5.0]]"
Uttar Pradesh(East),900,Bharti Airtel,"[[(902.1- 907.1)], [5.0]]"
West Bengal,900,Bharti Airtel,"[[(904.3- 907.1)], [2.8]]"
West Bengal,900,Vodafone,"[[(903.5- 904.3)], [0.8]]"
Andhra Pradesh,1800,Reliance Jio,"[[(1754.9- 1759.1)], [4.2]]"
Assam,1800,Reliance Jio,"[[(1756.3- 1760.1), (1761.9- 1762.7)], [3.8, 0.8]]"
Bihar,1800,Bharti Airtel,"[[(1761.7- 1764.5)], [2.8]]"
Bihar,1800,Reliance Jio,"[[(1756.7- 1761.7)], [5.0]]"
Delhi,1800,Reliance Jio,"[[(1743.3- 1747.9)], [4.6]]"
Gujarat,1800,Reliance Jio,"[[(1747.1- 1751.1)], [4.0]]"
Haryana,1800,Reliance Jio,"[[(1741.7- 1746.7)], [5.0]]"
HimachalPradesh,1800,Bharti Airtel,"[[(1742.1- 1746.9)], [4.8]]"
Jammu &Kashmir,1800,Bharti Airtel,"[[(1749.1- 1759.1)], [10.0]]"
Karnataka,1800,Bharti Airtel,"[[(1735.7- 1746.9)], [11.2]]"
Karnataka,1800,Reliance Jio,"[[(1752.3- 1757.3)], [5.0]]"
Karnataka,1800,Vodafone,"[[(1757.3- 1761.3)], [4.0]]"
Kerala,1800,Bharti Airtel,"[[(1745.3- 1750.3)], [5.0]]"
Kerala,1800,Reliance Jio,"[[(1740.3- 1745.3)], [5.0]]"
Kolkata,1800,Bharti Airtel,"[[(1752.3- 1753.3)], [1.0]]"
Madhya Pradesh 1800,1800,Bharti Airtel,"[[(1746.1- 1750.3)], [4.2]]"
Madhya Pradesh 1800,1800,Reliance Jio,"[[(1750.3- 1753.9)], [3.6]]"
Maharashtra,1800,Reliance Jio,"[[(1742.7- 1747.7)], [5.0]]"
Mumbai,1800,Reliance Jio,"[[(1750.7- 1754.1)], [3.4]]"
North East,1800,Reliance Jio,"[[(1761.1- 1764.7)], [3.6]]"
Odisha,1800,Bharti Airtel,"[[(1753.5- 1754.3), (1758.7- 1760.5)], [0.8, 1.8]]"
Odisha,1800,Reliance Jio,"[[(1748.5- 1753.5)], [5.0]]"
Punjab,1800,Bharti Airtel,"[[(1741.1- 1746.1)], [5.0]]"
Punjab,1800,Reliance Jio,"[[(1746.1- 1750.9)], [4.8]]"
Tamil Nadu,1800,Bharti Airtel,"[[(1743.5- 1758.5)], [15.0]]"
Tamil Nadu,1800,Reliance Jio,"[[(1761.5- 1764.7)], [3.2]]"
Uttar Pradesh(East),1800,Bharti Airtel,"[[(1750.9- 1754.1)], [3.2]]"
Uttar Pradesh(East),1800,Reliance Jio,"[[(1747.3- 1750.9)], [3.6]]"
Uttar Pradesh(East),1800,Vodafone,"[[(1754.1- 1755.5)], [1.4]]"
Uttar Pradesh(West),1800,Bharti Airtel,"[[(1746.7- 1749.7)], [3.0]]"
Uttar Pradesh(West),1800,Reliance Jio,"[[(1741.7- 1746.7)], [5.0]]"
Uttar Pradesh(West),1800,Vodafone,"[[(1749.7- 1750.3)], [0.6]]"
West Bengal,1800,Bharti Airtel,"[[(1754.3- 1757.7), (1762.1- 1762.5)], [3.4, 0.4]]"
Assam,2100,Bharti Airtel,"[[(1944.0- 1949.0)], [5.0]]"
North East,2100,Bharti Airtel,"[[(1944.0- 1949.0)], [5.0]]"
West Bengal,2100,Bharti Airtel,"[[(1939.0- 1944.0)], [5.0]]"
Andhra Pradesh,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Assam,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
Assam,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Bihar,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
Bihar,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Delhi,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Gujarat,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
Gujarat,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Haryana,2300,Bharti Airtel,"[[(2360.0- 2380.0)], [20.0]]"
Haryana,2300,Reliance Jio,"[[(2320.0- 2340.0)], [20.0]]"
Himachal Pradesh,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
Himachal Pradesh,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Jammu & Kashmir,2300,Bharti Airtel,"[[(2360.0- 2380.0)], [20.0]]"
Jammu & Kashmir,2300,Reliance Jio,"[[(2320.0- 2340.0)], [20.0]]"
Karnataka,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Kerala,2300,Bharti Airtel,"[[(2370.0- 2380.0)], [10.0]]"
Kerala,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
Kolkata,2300,Reliance Jio,"[[(2360.0- 2370.0)], [10.0]]"
