,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
0,Delhi,800,SSTL,"[[828.405- 829.635,840.975- 843.435],[1.23, 2.46]]",828.405- 829.635
1,Delhi,800,SSTL,"[[828.405- 829.635,840.975- 843.435],[1.23, 2.46]]",840.975- 843.435
2,Gujarat,800,SSTL,"[[827.175- 829.635, 835.455- 836.685],[2.46, 1.23]]",827.175- 829.635
3,Gujarat,800,SSTL,"[[827.175- 829.635, 835.455- 836.685],[2.46, 1.23]]", 835.455- 836.685
4,Karnataka,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]",828.405- 829.635
5,Karnataka,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]", 840.975- 843.435
6,Kerala,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]",828.405- 829.635
7,Kerala,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]", 840.975- 843.435
8,Kolkata,800,SSTL,"[[831.465- 832.695,834.555- 837.015],[1.23, 2.46]]",831.465- 832.695
9,Kolkata,800,SSTL,"[[831.465- 832.695,834.555- 837.015],[1.23, 2.46]]",834.555- 837.015
10,Tamil Nadu,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]",828.405- 829.635
11,Tamil Nadu,800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]", 840.975- 843.435
12,"Uttar Pradesh
 (W)",800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]",828.405- 829.635
13,"Uttar Pradesh
 (W)",800,SSTL,"[[828.405- 829.635, 840.975- 843.435],[1.23, 2.46]]", 840.975- 843.435
14,West Bengal,800,SSTL,"[[831.165- 832.395, 835.155- 837.615],[1.23, 2.46]]",831.165- 832.395
15,West Bengal,800,SSTL,"[[831.165- 832.395, 835.155- 837.615],[1.23, 2.46]]", 835.155- 837.615
