Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,"Downlink_Start","Downlink_Stop"
AP,700,1590,Reliance Jio,723,728,778,783
AP,700,1590,Reliance Jio,728,733,783,788
Assam,700,285,Reliance Jio,723,728,778,783
Assam,700,285,Reliance Jio,728,733,783,788
Bihar,700,725,Reliance Jio,723,728,778,783
Bihar,700,725,Reliance Jio,728,733,783,788
Delhi,700,2545,Reliance Jio,723,728,778,783
Delhi,700,2545,Reliance Jio,728,733,783,788
Gujarat,700,1410,Reliance Jio,723,728,778,783
Gujarat,700,1410,Reliance Jio,728,733,783,788
Haryana,700,355,Reliance Jio,723,728,778,783
Haryana,700,355,Reliance Jio,728,733,783,788
HP,700,130,Reliance Jio,723,728,778,783
HP,700,130,Reliance Jio,728,733,783,788
J&K,700,80,Reliance Jio,723,728,778,783
J&K,700,80,Reliance Jio,728,733,783,788
Karnataka,700,1100,Reliance Jio,723,728,778,783
Karnataka,700,1100,Reliance Jio,728,733,783,788
Kerala,700,550,Reliance Jio,723,728,778,783
Kerala,700,550,Reliance Jio,728,733,783,788
Kolkata,700,865,Reliance Jio,723,728,778,783
Kolkata,700,865,Reliance Jio,728,733,783,788
MP,700,780,Reliance Jio,723,728,778,783
MP,700,780,Reliance Jio,728,733,783,788
Maharashtra,700,1795,Reliance Jio,723,728,778,783
Maharashtra,700,1795,Reliance Jio,728,733,783,788
Mumbai,700,2350,Reliance Jio,723,728,778,783
Mumbai,700,2350,Reliance Jio,728,733,783,788
NE,700,75,Reliance Jio,723,728,778,783
NE,700,75,Reliance Jio,728,733,783,788
Odisha,700,310,Reliance Jio,723,728,778,783
Odisha,700,310,Reliance Jio,728,733,783,788
Punjab,700,560,Reliance Jio,723,728,778,783
Punjab,700,560,Reliance Jio,728,733,783,788
Rajasthan,700,730,Reliance Jio,723,728,778,783
Rajasthan,700,730,Reliance Jio,728,733,783,788
TN,700,1265,Reliance Jio,723,728,778,783
TN,700,1265,Reliance Jio,728,733,783,788
UP(East),700,855,Reliance Jio,723,728,778,783
UP(East),700,855,Reliance Jio,728,733,783,788
UP(West),700,770,Reliance Jio,723,728,778,783
UP(West),700,770,Reliance Jio,728,733,783,788
WB,700,510,Reliance Jio,723,728,778,783
WB,700,510,Reliance Jio,728,733,783,788
Assam,800,62.5,Reliance Jio,834,835.25,879,880.25
Assam,800,62.5,Reliance Jio,835.25,836.5,880.25,881.5
Assam,800,62.5,Reliance Jio,836.5,837.75,881.5,882.75
Assam,800,62.5,Reliance Jio,837.75,839,882.75,884
J&K,800,17.5,Reliance Jio,834,835.25,879,880.25
J&K,800,17.5,Reliance Jio,835.25,836.5,880.25,881.5
J&K,800,17.5,Reliance Jio,836.5,837.75,881.5,882.75
J&K,800,17.5,Reliance Jio,837.75,839,882.75,884
NE,800,16.25,Reliance Jio,834,835.25,879,880.25
NE,800,16.25,Reliance Jio,835.25,836.5,880.25,881.5
NE,800,16.25,Reliance Jio,836.5,837.75,881.5,882.75
NE,800,16.25,Reliance Jio,837.75,839,882.75,884
UP(West),800,166.25,Reliance Jio,836.5,837.75,881.5,882.75
UP(West),800,166.25,Reliance Jio,837.75,839,882.75,884
UP(West),800,166.25,Reliance Jio,839,840.25,884,885.25
UP(West),800,166.25,Reliance Jio,840.25,841.5,885.25,886.5
Assam,900,11.2,Bharti Airtel,913.1,913.3,958.1,958.3
Assam,900,11.2,Bharti Airtel,912.9,913.1,957.9,958.1
Assam,900,11.2,Bharti Airtel,912.7,912.9,957.7,957.9
Assam,900,11.2,Bharti Airtel,912.5,912.7,957.5,957.7
Assam,900,11.2,Bharti Airtel,912.3,912.5,957.3,957.5
Assam,900,11.2,Bharti Airtel,912.1,912.3,957.1,957.3
Assam,900,11.2,Bharti Airtel,905.5,905.7,950.5,950.7
Assam,900,11.2,Bharti Airtel,905.3,905.5,950.3,950.5
Assam,900,11.2,Bharti Airtel,905.1,905.3,950.1,950.3
Assam,900,11.2,Bharti Airtel,904.9,905.1,949.9,950.1
