Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,"Downlink_Start","Downlink_Stop"
"Andhra Pradesh",1800,286.91,Telewings,1719.2,1720.45,1814.2,1815.45
,,,,1720.45,1721.7,1815.45,1816.7
,,,,1721.7,1722.95,1816.7,1817.95
,,,,1722.95,1724.2,1817.95,1819.2
Assam,1800,8.67,Bharti Airtel,1725.1,1726.35,1820.1,1821.35
,,,Idea,1735.2,1736.45,1830.2,1831.45
,,,,1736.45,1737.7,1831.45,1832.7
,,,,1737.7,1738.95,1832.7,1833.95
,,,,1738.95,1740.2,1833.95,1835.2
,,,Vodafone,1722.6,1723.85,1817.6,1818.85
,,,,1726.35,1727.6,1821.35,1822.6
Bihar,1800,46.43,Idea,1740.4,1741.65,1835.4,1836.65
,,,Videocon,1735.2,1736.45,1830.2,1831.45
,,,,1736.45,1737.7,1831.45,1832.7
,,,,1737.7,1738.95,1832.7,1833.95
,,,,1738.95,1740.2,1833.95,1835.2
,,,Vodafone,1751.8,1753.05,1846.8,1848.05
,,,,1753.05,1754.3,1848.05,1849.3
,,,Telewings,1724.6,1725.85,1819.6,1820.85
,,,,1725.85,1727.1,1820.85,1822.1
,,,,1727.1,1728.35,1822.1,1823.35
,,,,1728.35,1729.6,1823.35,1824.6
Gujarat,1800,224.84,Telewings,1738.6,1739.85,1833.6,1834.85
,,,,1739.85,1741.1,1834.85,1836.1
,,,,1741.1,1742.35,1836.1,1837.35
,,,,1742.35,1743.6,1837.35,1838.6
,,,Videocon,1710.2,1711.45,1805.2,1806.45
,,,,1711.45,1712.7,1806.45,1807.7
,,,,1712.7,1713.95,1807.7,1808.95
,,,,1713.95,1715.2,1808.95,1810.2
Haryana,1800,46.52,Videocon,1719.6,1720.85,1814.6,1815.85
,,,,1720.85,1722.1,1815.85,1817.1
,,,,1722.1,1723.35,1817.1,1818.35
,,,,1723.35,1724.6,1818.35,1819.6
,,,Vodafone,1760.5,1761.75,1855.5,1856.75
,,,,1761.75,1763,1856.75,1858
"Himachal Pradesh",1800,7.78,Vodafone,1728.9,1730.15,1823.9,1825.15
"Jammu & Kashmir",1800,6.33,Vodafone,1761.4,1762.65,1856.4,1857.65
,,,,1762.65,1763.9,1857.65,1858.9
,,,Idea,1720.4,1721.65,1815.4,1816.65
,,,,1721.65,1722.9,1816.65,1817.9
,,,,1722.9,1724.15,1817.9,1819.15
,,,,1724.15,1725.4,1819.15,1820.4
Kerala,1800,65.3,Vodafone,1722.95,1724.2,1817.95,1819.2
Kolkata,1800,113.72,Idea,1735.8,1737.05,1830.8,1832.05
,,,,1737.05,1738.3,1832.05,1833.3
,,,,1738.3,1739.55,1833.3,1834.55
,,,,1739.55,1740.8,1834.55,1835.8
"Madhya Pradesh",1800,53.99,Videocon,1718.4,1719.65,1813.4,1814.65
,,,,1719.65,1720.9,1814.65,1815.9
,,,,1720.9,1722.15,1815.9,1817.15
,,,,1722.15,1723.4,1817.15,1818.4
,,,Vodafone,1738,1739.25,1833,1834.25
,,,,1740.5,1741.75,1835.5,1836.75
Maharashtra,1800,262.81,Telewings,1753.8,1755.05,1848.8,1850.05
,,,,1755.05,1756.3,1850.05,1851.3
,,,,1756.3,1757.55,1851.3,1852.55
,,,,1757.55,1758.8,1852.55,1853.8
,,,Vodafone,1760.05,1761.3,1855.05,1856.3
North East,1800,8.84,Idea,1734,1735.25,1829,1830.25
,,,,1735.25,1736.5,1830.25,1831.5
,,,,1736.5,1737.75,1831.5,1832.75
,,,,1737.75,1739,1832.75,1834
,,,Vodafone,1739,1740.25,1834,1835.25
,,,,1742.75,1744,1837.75,1839
Orissa,1800,20.27,Idea,1710.2,1711.45,1805.2,1806.45
,,,,1711.45,1712.7,1806.45,1807.7
,,,,1712.7,1713.95,1807.7,1808.95
,,,,1713.95,1715.2,1808.95,1810.2
,,,Vodafone,1715.2,1716.45,1810.2,1811.45
,,,,1718.95,1720.2,1813.95,1815.2
Punjab,1800,67.28,Vodafone,1755.65,1756.9,1850.65,1851.9
Tamil Nadu,1800,306.09,Idea,1733.4,1734.65,1828.4,1829.65
,,,,1734.65,1735.9,1829.65,1830.9
,,,,1735.9,1737.15,1830.9,1832.15
,,,,1737.15,1738.4,1832.15,1833.4
"Uttar Pradesh (E)",1800,76.17,Vodafone,1742.2,1743.45,1837.2,1838.45
,,,Telewings,1723,1724.25,1818,1819.25
,,,,1724.25,1725.5,1819.25,1820.5
,,,,1725.5,1726.75,1820.5,1821.75
,,,,1726.75,1728,1821.75,1823
,,,Videocon,1728,1729.25,1823,1824.25
,,,,1729.25,1730.5,1824.25,1825.5
,,,,1730.5,1731.75,1825.5,1826.75
,,,,1731.75,1733,1826.75,1828
Uttar Pradesh (W),1800,107.41,Vodafone,1719.2,1720.45,1814.2,1815.45
,,,,1780.2,1781.45,1875.2,1876.45
,,,Videocon,1714,1715.25,1809,1810.25
,,,,1715.25,1716.5,1810.25,1811.5
,,,,1716.5,1717.75,1811.5,1812.75
,,,,1717.75,1719,1812.75,1814
,,,Telewings,1738.6,1739.85,1833.6,1834.85
,,,,1739.85,1741.1,1834.85,1836.1
,,,,1741.1,1742.35,1836.1,1837.35
,,,,1742.35,1743.6,1837.35,1838.6
West Bengal,1800,25.84,Idea,1721.2,1722.45,1816.2,1817.45
,,,,1722.45,1723.7,1817.45,1818.7
,,,,1723.7,1724.95,1818.7,1819.95
,,,,1724.95,1726.2,1819.95,1821.2
,,,,1759.6,1760.85,1854.6,1855.85
,,,Vodafone,1762.1,1763.35,1857.1,1858.35
,,,,1763.35,1764.6,1858.35,1859.6
