Service_Area,Band,Company_Name,Frequency-Quantum
North East,1800,Idea,"[[(1763.9- 1764.9)], [1.0]]"
North East,1800,RCOM,"[[(1724.7- 1726.1),(1728.1- 1730.9),(1751.1- 1751.9)], [1.4, 2.8, 0.8]]"
Odisha,1800,Bharti Airtel,"[[(1746.7- 1751.7),(1753.7- 1754.9)], [5.0, 1.2]]"
Odisha,1800,Idea,"[[(1736.7- 1741.7)], [5.0]]"
Odisha,1800,RCOM,"[[(1741.7- 1746.7)], [5.0]]"
Punjab,1800,Bharti Airtel,"[[(1749.7- 1750.7)], [1.0]]"
Punjab,1800,RCOM,"[[(1749.1- 1749.7)], [0.6]]"
Rajasthan,1800,Reliance JIO,"[[(1732.7- 1736.1),(1743.9- 1748.9),(1752.1- 1753.7)], [3.4, 5.0, 1.6]]"
Tamil Nadu,1800,Aircel,"[[(1725.5- 1729.9),(1743.5- 1748.5),(1756.9- 1757.5)], [4.4, 5.0, 0.6]]"
Tamil Nadu,1800,Idea,"[[(1751.7- 1756.7),(1757.5- 1758.9)], [5.0, 1.4]]"
Tamil Nadu,1800,Reliance JIO,"[[(1758.9- 1759.5)], [0.6]]"
Uttar Pradesh (E),1800,Reliance JIO,"[[(1714.5- 1717.5)], [3.0]]"
Uttar Pradesh (E),1800,Vodafone,"[[(1717.5- 1718.3),(1720.5- 1720.9)], [0.8, 0.4]]"
Uttar Pradesh (W),1800,Idea,"[[(1711.9- 1713.7),(1763.3- 1763.7)], [1.8, 0.4]]"
Assam,2100,Vodafone,"[[(1954.0- 1959.0)], [5.0]]"
Gujarat,2100,Bharti Airtel,"[[(1954.0- 1959.0)], [5.0]]"
Haryana,2100,Bharti Airtel,"[[(1954.0- 1959.0)], [5.0]]"
Karnataka,2100,Vodafone,"[[(1954.0- 1959.0)], [5.0]]"
Kerala,2100,Vodafone,"[[(1954.0- 1959.0)], [5.0]]"
Kolkata,2100,Idea,"[[(1954.0- 1959.0)], [5.0]]"
Madhya Pradesh,2100,Bharti Airtel,"[[(1954.0- 1959.0)], [5.0]]"
Maharashtra,2100,Bharti Airtel,"[[(1954.0- 1959.0)], [5.0]]"
North East,2100,Vodafone,"[[(1954.0- 1959.0)], [5.0]]"
Odisha,2100,Bharti Airtel,"[[(1954.0- 1959.0)], [5.0]]"
Rajasthan,2100,Vodafone,"[[(1954.0- 1959.0)], [5.0]]"
Tamil Nadu,2100,Bharti Airtel,"[[(1954.0- 1959.0)], [5.0]]"
Uttar Pradesh (E),2100,Bharti Airtel,"[[(1954.0- 1959.0)], [5.0]]"
Uttar Pradesh (W),2100,Vodafone,"[[(1954.0- 1959.0)], [5.0]]"
