Service_Area,Band,Company_Name,Frequency-Quantum
Andhra Pradesh,800,TTSL,"[[(827.175- 828.405),(828.405- 829.635),(829.635- 830.865)], [1.23, 1.23, 1.23]]"
Assam,800,RCOM,"[[(838.515- 839.745),(839.745- 840.975),(840.975- 842.205),(842.205- 843.435)], [1.23, 1.23, 1.23, 1.23]]"
Assam,800,Reliance JIO,"[[(829.935- 831.165),(831.165- 832.395),(832.395- 833.625),(833.625- 834.855)], [1.23, 1.23, 1.23, 1.23]]"
Bihar,800,Reliance JIO,"[[(828.405- 829.635),(833.925- 835.155),(840.975- 842.205),(842.205- 843.435)], [1.23, 1.23, 1.23, 1.23]]"
Delhi,800,TTSL,"[[(824.415- 825.645)], [1.23]]"
Gujarat,800,RCOM,"[[(836.985- 838.215),(838.215- 839.445)], [1.23, 1.23]]"
Haryana,800,RCOM,"[[(824.415- 825.645)], [1.23]]"
Haryana,800,Reliance JIO,"[[(827.175- 828.405),(839.745- 840.975),(840.975- 842.205),(842.205- 843.435)], [1.23, 1.23, 1.23, 1.23]]"
Haryana,800,TTSL,"[[(828.405- 829.635)], [1.23]]"
Himachal Pradesh,800,RCOM,"[[(828.405- 829.635),(829.635- 830.865)], [1.23, 1.23]]"
Himachal Pradesh,800,Reliance JIO,"[[(833.925- 835.155),(839.745- 840.975),(840.975- 842.205),(842.205- 843.435)], [1.23, 1.23, 1.23, 1.23]]"
Jammu & Kashmir,800,RCOM,"[[(832.695- 833.925),(832.925- 835.155)], [1.23- 2.23]]"
Jammu & Kashmir,800,Reliance JIO,"[[(835.155- 836.385),(839.745- 840.975),(840.975- 842.205),(842.205- 843.435)], [1.23, 1.23, 1.23, 1.23]]"
Kolkata,800,RCOM,"[[(827.175- 828.405)], [1.23]]"
Madhya Pradesh,800,Reliance JIO,"[[(829.935- 831.165),(831.165- 832.395),(832.395- 833.625),(833.625- 834.855)], [1.23, 1.23, 1.23, 1.23]]"
Maharashtra,800,TTSL,"[[(829.935- 831.165),(831.165- 832.395)], [1.23, 1.23]]"
Mumbai,800,Reliance JIO,"[[(832.995- 834.225),(834.225- 835.455),(835.455- 836.685),(836.685- 837.915)], [1.23, 1.23, 1.23, 1.23]]"
Mumbai,800,TTSL,"[[(829.935- 831.165),(831.165- 832.395)], [1.23, 1.23]]"
North East,800,RCOM,"[[(829.935- 831.165),(831.165- 832.395),(832.395- 833.625),(833.625- 834.855)], [1.23, 1.23, 1.23, 1.23]]"
North East,800,Reliance JIO,"[[(838.515- 839.745),(839.745- 840.975),(840.975- 842.205),(842.205- 843.435)], [1.23, 1.23, 1.23, 1.23]]"
Odisha,800,RCOM,"[[(828.405- 829.635)], [1.23]]"
Odisha,800,Reliance JIO,"[[(833.925- 835.155),(839.745- 840.975),(840.975- 842.205),(842.205- 843.435)], [1.23, 1.23, 1.23, 1.23]]"
Punjab,800,RCOM,"[[(832.605- 833.835),(833.835- 835.065)], [1.23, 1.23]]"
Uttar Pradesh (E),800,Reliance JIO,"[[(833.925- 835.155),(840.975- 842.205),(842.205- 843.435)], [1.23, 1.23, 1.23]]"
Uttar Pradesh (W),800,RCOM,"[[(835.155- 836.385)], [1.23]]"
West Bengal,800,RCOM,"[[(842.205- 843.435)], [1.23]]"
Andhra Pradesh,900,Bharti Airtel,"[[(895.1- 902.5),(910.5- 912.1)], [7.4, 1.6]]"
Andhra Pradesh,900,Idea,"[[(890.1- 895.1)], [5.0]]"
Assam,900,Bharti Airtel,"[[(896.3- 902.5)], [6.2]]"
Bihar,900,Bharti Airtel,"[[(896.3- 897.9)], [1.6]]"
Gujarat,900,Idea,"[[(890.1- 895.1)], [5.0]]"
Gujarat,900,Vodafone,"[[(895.1- 900.1),(910.5- 911.5)], [5.0, 1.0]]"
Haryana,900,Idea,"[[(890.1- 895.1),(901.3- 902.3)], [5.0, 1.0]]"
Haryana,900,Vodafone,"[[(895.1- 901.3)], [6.2]]"
Himachal Pradesh,900,Bharti Airtel,"[[(895.1- 902.5)], [7.4]]"
Himachal Pradesh,900,RCOM,"[[(890.1- 895.1)], [5.0]]"
Karnataka,900,Bharti Airtel,"[[(895.1- 902.5),(910.5- 911.9)], [7.4, 1.4]]"
Karnataka,900,Idea,"[[(890.1- 895.1)], [5.0]]"
Kerala,900,Idea,"[[(895.1- 901.1)], [6.0]]"
Kerala,900,Vodafone,"[[(890.1- 895.1),(901.1- 902.5)], [5.0, 1.4]]"
Madhya Pradesh,900,Idea,"[[(895.1- 902.5)], [7.4]]"
Madhya Pradesh,900,RCOM,"[[(890.1- 895.1)], [5.0]]"
Maharashtra,900,Idea,"[[(895.1- 902.5),(910.5- 912.1)], [7.4, 1.6]]"
Maharashtra,900,Vodafone,"[[(890.1- 895.1)], [5.0]]"
North East,900,Bharti Airtel,"[[(894.5- 902.5),(907.7- 908.5)], [8.0, 0.8]]"
Odisha,900,Bharti Airtel,"[[(901.3- 902.5)], [1.2]]"
Odisha,900,Vodafone,"[[(896.3- 901.3)], [5.0]]"
Punjab,900,Bharti Airtel,"[[(895.1- 902.5),(906.5- 907.3),(909.5- 909.7),(910.5- 912.1)], [7.4, 0.8, 0.2, 1.6]]"
Punjab,900,Idea,"[[(890.1- 895.1),(909.7- 910.3)], [5.0, 0.6]]"
Rajasthan,900,Bharti Airtel,"[[(890.1- 895.1),(901.5- 902.5)], [5.0, 1.0]]"
Rajasthan,900,Vodafone,"[[(895.1- 901.5)], [6.4]]"
Uttar Pradesh (E),900,Vodafone,"[[(896.3- 901.9)], [5.6]]"
Uttar Pradesh (W),900,Idea,"[[(896.3- 901.3)], [5.0]]"
West Bengal,900,Bharti Airtel,"[[(900.3- 902.5)], [2.2]]"
West Bengal,900,Vodafone,"[[(898.1- 900.3)], [2.2]]"
Andhra Pradesh,1800,Bharti Airtel,"[[(1745.3- 1746.5)], [1.2]]"
Andhra Pradesh,1800,TTSL,"[[(1746.5- 1749.1)], [2.6]]"
Gujarat,1800,Vodafone,"[[(1720.7- 1721.1),(1732.9- 1735.5),(1764.5- 1764.9)], [0.4, 2.6, 0.4]]"
Haryana,1800,Bharti Airtel,"[[(1718.7- 1719.1),(1743.9- 1745.1),(1762.9- 1764.7)], [0.4, 1.2, 1.8]]"
Haryana,1800,RCOM,"[[(1743.3- 1743.9)], [0.6]]"
Haryana,1800,Reliance JIO,"[[(1718.3- 1718.7),(1733.1- 1736.7)], [0.4, 3.6]]"
Himachal Pradesh,1800,Idea,"[[(1713.9- 1714.1),(1716.7- 1720.9),(1763.3- 1763.7)], [0.2, 4.2, 0.4]]"
Himachal Pradesh,1800,Reliance JIO,"[[(1743.7- 1746.7),(1760.9- 1763.3)], [3.0, 2.4]]"
Karnataka,1800,Idea,"[[(1714.5- 1714.7),(1722.5- 1723.3)], [0.2, 0.8]]"
Karnataka,1800,RCOM,"[[(1714.7- 1715.1),(1743.5- 1743.7)], [0.4, 0.2]]"
Kerala,1800,Vodafone,"[[(1746.3- 1747.3)], [1.0]]"
Kolkata,1800,Bharti Airtel,"[[(1760.5- 1762.5)], [2.0]]"
Kolkata,1800,Reliance JIO,"[[(1740.9- 1745.9)], [5.0]]"
North East,1800,Bharti Airtel,"[[(1762.3- 1763.9)], [1.6]]"
