,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
93,Tamil Nadu,2300,Bharti Airtel,"2357.5-2367.5,10.0",2357.5-2367.5
94,Tamil Nadu,2300,Reliance Jio,"2367.5-2377.5,10.0",2367.5-2377.5
95,West Bengal,2300,Bharti Airtel,"2355.0-2365.0,10.0",2355.0-2365.0
96,West Bengal,2300,Reliance Jio,"2365.0-2375.0,10.0",2365.0-2375.0
97,"Andhra
 Pradesh",2300,Bharti Airtel,"2325.0-2335.0,10.0",2325.0-2335.0
98,"Andhra
 Pradesh",2300,Reliance Jio,"2335.0-2345.0,10.0",2335.0-2345.0
99,Assam,2300,Bharti Airtel,"2347.5-2357.5,10.0",2347.5-2357.5
100,Assam,2300,Reliance Jio,"2357.5-2367.5,10.0",2357.5-2367.5
101,Bihar,2300,Bharti Airtel,"2357.5-2367.5,10.0",2357.5-2367.5
102,Bihar,2300,Reliance Jio,"2367.5-2377.5,10.0",2367.5-2377.5
103,Delhi,2300,Bharti Airtel,"2350.0-2360.0,10.0",2350.0-2360.0
104,Delhi,2300,Reliance Jio,"2360.0-2370.0,10.0",2360.0-2370.0
105,Gujarat,2300,Bharti Airtel,"2350.0-2360.0,10.0",2350.0-2360.0
106,Gujarat,2300,Reliance Jio,"2360.0-2370.0,10.0",2360.0-2370.0
107,Himachal Pradesh,2300,Bharti Airtel,"2377.5-2387.5,10.0",2377.5-2387.5
108,Himachal Pradesh,2300,Reliance Jio,"2367.5-2377.5,10.0",2367.5-2377.5
109,Karnataka,2300,Bharti Airtel,"2350.0-2360.0,10.0",2350.0-2360.0
110,Karnataka,2300,Reliance Jio,"2360.0-2370.0,10.0",2360.0-2370.0
111,Kerala,2300,Idea,"2360.0-2370.0,10.0",2360.0-2370.0
112,Kerala,2300,Reliance Jio,"2350.0-2360.0,10.0",2350.0-2360.0
113,Kolkata,2300,Bharti Airtel,"2355.0-2365.0,10.0",2355.0-2365.0
114,Kolkata,2300,Reliance Jio,"2365.0-2375.0,10.0",2365.0-2375.0
115,Madhya Pradesh,2300,Idea,"2352.5-2362.5,10.0",2352.5-2362.5
116,Madhya Pradesh,2300,Reliance Jio,"2362.5-2372.5,10.0",2362.5-2372.5
117,Maharashtra,2300,Idea,"2365.0-2375.0,10.0",2365.0-2375.0
118,Maharashtra,2300,Reliance Jio,"2355.0-2365.0,10.0",2355.0-2365.0
119,Mumbai,2300,Bharti Airtel,"2355.0-2365.0,10.0",2355.0-2365.0
120,Mumbai,2300,Reliance Jio,"2365.0-2375.0,10.0",2365.0-2375.0
121,North East,2300,Bharti Airtel,"2357.5-2367.5,10.0",2357.5-2367.5
122,North East,2300,Reliance Jio,"2347.5-2357.5,10.0",2347.5-2357.5
123,Odisha,2300,Bharti Airtel,"2388.0-2398.0,10.0",2388.0-2398.0
124,Odisha,2300,Reliance Jio,"2378.0-2388.0,10.0",2378.0-2388.0
125,Tamil Nadu,2300,Bharti Airtel,"2357.5-2367.5,10.0",2357.5-2367.5
126,Tamil Nadu,2300,Reliance Jio,"2367.5-2377.5,10.0",2367.5-2377.5
127,West Bengal,2300,Bharti Airtel,"2355.0-2365.0,10.0",2355.0-2365.0
128,West Bengal,2300,Reliance Jio,"2365.0-2375.0,10.0",2365.0-2375.0
