,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
103,Punjab,2300,Bharti Airtel,"[[2320.0- 2340.0], [20.0]]",2320.0- 2340.0
104,Punjab,2300,Infotel,"[[2357.5- 2377.5], [20.0]]",2357.5- 2377.5
105,Rajasthan,2300,Infotel,"[[2357.5- 2377.5], [20.0]]",2357.5- 2377.5
106,Rajasthan,2300,Tikona,"[[2320.0- 2340.0], [20.0]]",2320.0- 2340.0
107,Tamil Nadu,2300,Aircel,"[[2335.0- 2355.0], [20.0]]",2335.0- 2355.0
108,Tamil Nadu,2300,Infotel,"[[2312.5- 2332.5], [20.0]]",2312.5- 2332.5
109,Uttar Pradesh (E),2300,Infotel,"[[2357.5- 2377.5], [20.0]]",2357.5- 2377.5
110,Uttar Pradesh (E),2300,Tikona,"[[2320.0- 2340.0], [20.0]]",2320.0- 2340.0
111,Uttar Pradesh (W),2300,Infotel,"[[2357.5- 2377.5], [20.0]]",2357.5- 2377.5
112,Uttar Pradesh (W),2300,Tikona,"[[2320.0- 2340.0], [20.0]]",2320.0- 2340.0
113,West Bengal,2300,Aircel,"[[2332.5- 2352.5], [20.0]]",2332.5- 2352.5
114,West Bengal,2300,Infotel,"[[2305.0- 2325.0], [20.0]]",2305.0- 2325.0
