,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
0,Andhra Pradesh,800,TTSL,"827.175-828.405,828.405-829.635,829.635-830.865,1.23,1.23,1.23",827.175-828.405
1,Andhra Pradesh,800,TTSL,"827.175-828.405,828.405-829.635,829.635-830.865,1.23,1.23,1.23",828.405-829.635
2,Andhra Pradesh,800,TTSL,"827.175-828.405,828.405-829.635,829.635-830.865,1.23,1.23,1.23",829.635-830.865
3,Assam,800,RCOM,"838.515-839.745,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",838.515-839.745
4,Assam,800,RCOM,"838.515-839.745,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",839.745-840.975
5,Assam,800,RCOM,"838.515-839.745,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",840.975-842.205
6,Assam,800,RCOM,"838.515-839.745,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",842.205-843.435
7,Assam,800,Reliance JIO,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",829.935-831.165
8,Assam,800,Reliance JIO,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",831.165-832.395
9,Assam,800,Reliance JIO,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",832.395-833.625
10,Assam,800,Reliance JIO,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",833.625-834.855
11,Bihar,800,Reliance JIO,"828.405-829.635,833.925-835.155,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",828.405-829.635
12,Bihar,800,Reliance JIO,"828.405-829.635,833.925-835.155,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",833.925-835.155
13,Bihar,800,Reliance JIO,"828.405-829.635,833.925-835.155,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",840.975-842.205
14,Bihar,800,Reliance JIO,"828.405-829.635,833.925-835.155,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",842.205-843.435
15,Delhi,800,TTSL,"824.415-825.645,1.23",824.415-825.645
16,Gujarat,800,RCOM,"836.985-838.215,838.215-839.445,1.23,1.23",836.985-838.215
17,Gujarat,800,RCOM,"836.985-838.215,838.215-839.445,1.23,1.23",838.215-839.445
18,Haryana,800,RCOM,"824.415-825.645,1.23",824.415-825.645
19,Haryana,800,Reliance JIO,"827.175-828.405,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",827.175-828.405
20,Haryana,800,Reliance JIO,"827.175-828.405,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",839.745-840.975
21,Haryana,800,Reliance JIO,"827.175-828.405,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",840.975-842.205
22,Haryana,800,Reliance JIO,"827.175-828.405,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",842.205-843.435
23,Haryana,800,TTSL,"828.405-829.635,1.23",828.405-829.635
24,Himachal Pradesh,800,RCOM,"828.405-829.635,829.635-830.865,1.23,1.23",828.405-829.635
25,Himachal Pradesh,800,RCOM,"828.405-829.635,829.635-830.865,1.23,1.23",829.635-830.865
26,Himachal Pradesh,800,Reliance JIO,"833.925-835.155,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",833.925-835.155
27,Himachal Pradesh,800,Reliance JIO,"833.925-835.155,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",839.745-840.975
28,Himachal Pradesh,800,Reliance JIO,"833.925-835.155,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",840.975-842.205
29,Himachal Pradesh,800,Reliance JIO,"833.925-835.155,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",842.205-843.435
30,Jammu & Kashmir,800,RCOM,"832.695-833.925,832.925-835.155,1.23-2.23",832.695-833.925
31,Jammu & Kashmir,800,RCOM,"832.695-833.925,832.925-835.155,1.23-2.23",832.925-835.155
32,Jammu & Kashmir,800,Reliance JIO,"835.155-836.385,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",835.155-836.385
33,Jammu & Kashmir,800,Reliance JIO,"835.155-836.385,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",839.745-840.975
34,Jammu & Kashmir,800,Reliance JIO,"835.155-836.385,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",840.975-842.205
35,Jammu & Kashmir,800,Reliance JIO,"835.155-836.385,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",842.205-843.435
36,Kolkata,800,RCOM,"827.175-828.405,1.23",827.175-828.405
37,Madhya Pradesh,800,Reliance JIO,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",829.935-831.165
38,Madhya Pradesh,800,Reliance JIO,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",831.165-832.395
39,Madhya Pradesh,800,Reliance JIO,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",832.395-833.625
40,Madhya Pradesh,800,Reliance JIO,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",833.625-834.855
41,Maharashtra,800,TTSL,"829.935-831.165,831.165-832.395,1.23,1.23",829.935-831.165
42,Maharashtra,800,TTSL,"829.935-831.165,831.165-832.395,1.23,1.23",831.165-832.395
43,Mumbai,800,Reliance JIO,"832.995-834.225,834.225-835.455,835.455-836.685,836.685-837.915,1.23,1.23,1.23,1.23",832.995-834.225
44,Mumbai,800,Reliance JIO,"832.995-834.225,834.225-835.455,835.455-836.685,836.685-837.915,1.23,1.23,1.23,1.23",834.225-835.455
45,Mumbai,800,Reliance JIO,"832.995-834.225,834.225-835.455,835.455-836.685,836.685-837.915,1.23,1.23,1.23,1.23",835.455-836.685
46,Mumbai,800,Reliance JIO,"832.995-834.225,834.225-835.455,835.455-836.685,836.685-837.915,1.23,1.23,1.23,1.23",836.685-837.915
47,Mumbai,800,TTSL,"829.935-831.165,831.165-832.395,1.23,1.23",829.935-831.165
48,Mumbai,800,TTSL,"829.935-831.165,831.165-832.395,1.23,1.23",831.165-832.395
49,North East,800,RCOM,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",829.935-831.165
50,North East,800,RCOM,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",831.165-832.395
51,North East,800,RCOM,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",832.395-833.625
52,North East,800,RCOM,"829.935-831.165,831.165-832.395,832.395-833.625,833.625-834.855,1.23,1.23,1.23,1.23",833.625-834.855
53,North East,800,Reliance JIO,"838.515-839.745,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",838.515-839.745
54,North East,800,Reliance JIO,"838.515-839.745,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",839.745-840.975
55,North East,800,Reliance JIO,"838.515-839.745,839.745-840.975,840.975-842.205,842.205-843.435,1.23,1.23,1.23,1.23",840.975-842.205
