Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,"Downlink_Start","Downlink_Stop"
Andhra Pradesh,1800,32.6,Bharti Airtel,1724.3,1724.5,1819.3,1819.5
,,,,1724.5,1724.7,1819.5,1819.7
,,,,1724.7,1724.9,1819.7,1819.9
,,,,1724.9,1725.1,1819.9,1820.1
,,,,1725.1,1725.3,1820.1,1820.3
,,,,1725.3,1725.5,1820.3,1820.5
,,,,1725.5,1725.7,1820.5,1820.7
,,,,1725.7,1725.9,1820.7,1820.9
,,,,1725.9,1726.1,1820.9,1821.1
,,,,1726.1,1726.3,1821.1,1821.3
,,,,1726.3,1726.5,1821.3,1821.5
,,,,1726.5,1726.7,1821.5,1821.7
,,,,1726.7,1726.9,1821.7,1821.9
,,,,1726.9,1727.1,1821.9,1822.1
,,,,1727.1,1727.3,1822.1,1822.3
,,,,1727.3,1727.5,1822.3,1822.5
,,,,1727.5,1727.7,1822.5,1822.7
,,,,1727.7,1727.9,1822.7,1822.9
,,,,1727.9,1728.1,1822.9,1823.1
,,,,1728.1,1728.3,1823.1,1823.3
,,,,1728.3,1728.5,1823.3,1823.5
,,,,1728.5,1728.7,1823.5,1823.7
,,,,1728.7,1728.9,1823.7,1823.9
,,,,1728.9,1729.1,1823.9,1824.1
,,,,1729.1,1729.3,1824.1,1824.3
,,,,1744.7,1744.9,1839.7,1839.9
,,,,1744.9,1745.1,1839.9,1840.1
,,,,1745.1,1745.3,1840.1,1840.3
,,,,1734.5,1734.7,1829.5,1829.7
,,,,1734.7,1734.9,1829.7,1829.9
,,,,1734.9,1735.1,1829.9,1830.1
,,,,1735.1,1735.3,1830.1,1830.3
,,,,1735.3,1735.5,1830.3,1830.5
,,,,1735.5,1735.7,1830.5,1830.7
,,,,1735.7,1735.9,1830.7,1830.9
,,,,1735.9,1736.1,1830.9,1831.1
,,,,1736.1,1736.3,1831.1,1831.3
,,,,1736.3,1736.5,1831.3,1831.5
,,,,1756.9,1757.1,1851.9,1852.1
,,,,1757.1,1757.3,1852.1,1852.3
,,,,1757.3,1757.5,1852.3,1852.5
,,,,1757.5,1757.7,1852.5,1852.7
,,,,1757.7,1757.9,1852.7,1852.9
,,,,1757.9,1758.1,1852.9,1853.1
,,,Idea,1729.3,1729.5,1824.3,1824.5
,,,,1729.5,1729.7,1824.5,1824.7
,,,,1729.7,1729.9,1824.7,1824.9
,,,,1729.9,1730.1,1824.9,1825.1
,,,,1730.1,1730.3,1825.1,1825.3
,,,,1730.3,1730.5,1825.3,1825.5
,,,,1730.5,1730.7,1825.5,1825.7
,,,,1730.7,1730.9,1825.7,1825.9
,,,,1730.9,1731.1,1825.9,1826.1
,,,,1731.1,1731.3,1826.1,1826.3
,,,,1731.3,1731.5,1826.3,1826.5
,,,,1731.5,1731.7,1826.5,1826.7
,,,,1731.7,1731.9,1826.7,1826.9
,,,,1731.9,1732.1,1826.9,1827.1
,,,,1732.1,1732.3,1827.1,1827.3
,,,,1732.3,1732.5,1827.3,1827.5
,,,,1732.5,1732.7,1827.5,1827.7
,,,,1732.7,1732.9,1827.7,1827.9
,,,,1732.9,1733.1,1827.9,1828.1
,,,,1733.1,1733.3,1828.1,1828.3
,,,,1733.3,1733.5,1828.3,1828.5
,,,,1733.5,1733.7,1828.5,1828.7
,,,,1733.7,1733.9,1828.7,1828.9
,,,,1733.9,1734.1,1828.9,1829.1
,,,,1734.1,1734.3,1829.1,1829.3
,,,,1743.7,1743.9,1838.7,1838.9
,,,,1743.9,1744.1,1838.9,1839.1
,,,,1744.1,1744.3,1839.1,1839.3
,,,,1744.3,1744.5,1839.3,1839.5
,,,,1744.5,1744.57,1839.5,1839.57
,,,Reliance Jio,1751.7,1751.9,1846.7,1846.9
,,,,1751.9,1752.1,1846.9,1847.1
,,,,1752.1,1752.3,1847.1,1847.3
,,,,1752.3,1752.5,1847.3,1847.5
,,,,1752.5,1752.7,1847.5,1847.7
,,,,1752.7,1752.9,1847.7,1847.9
,,,,1752.9,1753.1,1847.9,1848.1
,,,,1753.1,1753.3,1848.1,1848.3
,,,,1753.3,1753.5,1848.3,1848.5
,,,,1753.5,1753.7,1848.5,1848.7
,,,,1753.7,1753.9,1848.7,1848.9
,,,,1753.9,1754.1,1848.9,1849.1
,,,,1754.1,1754.3,1849.1,1849.3
,,,,1754.3,1754.5,1849.3,1849.5
,,,,1754.5,1754.7,1849.5,1849.7
,,,,1754.7,1754.9,1849.7,1849.9
,,,,1754.9,1755.1,1849.9,1850.1
,,,,1755.1,1755.3,1850.1,1850.3
,,,,1755.3,1755.5,1850.3,1850.5
,,,,1755.5,1755.7,1850.5,1850.7
,,,,1755.7,1755.9,1850.7,1850.9
,,,,1755.9,1756.1,1850.9,1851.1
,,,,1756.1,1756.3,1851.1,1851.3
,,,,1756.3,1756.5,1851.3,1851.5
,,,,1756.5,1756.7,1851.5,1851.7
,,,,1742.9,1743.1,1837.9,1838.1
,,,,1743.1,1743.3,1838.1,1838.3
,,,,1743.3,1743.5,1838.3,1838.5
,,,,1743.5,1743.7,1838.5,1838.7
,,,Telewings,1741.5,1741.7,1836.5,1836.7
,,,,1741.7,1741.9,1836.7,1836.9
,,,,1741.9,1742.1,1836.9,1837.1
,,,,1742.1,1742.3,1837.1,1837.3
,,,,1742.3,1742.5,1837.3,1837.5
,,,,1742.5,1742.7,1837.5,1837.7
,,,,1742.7,1742.9,1837.7,1837.9
,,,Vodafone,1740.9,1741.1,1835.9,1836.1
,,,,1741.1,1741.3,1836.1,1836.3
