,Service_Area,Band,Company_Name,Frequency-Quantum,Freq_slices
49,Himachal Pradesh,1800,Bharti Airtel,"1721.1-1726.1,1726.3-1726.9,1731.3-1731.7,1738.3-1739.9,1761.1-1763.7,5.0,0.6,0.4,1.6,2.6",1726.3-1726.9
50,Himachal Pradesh,1800,Bharti Airtel,"1721.1-1726.1,1726.3-1726.9,1731.3-1731.7,1738.3-1739.9,1761.1-1763.7,5.0,0.6,0.4,1.6,2.6",1731.3-1731.7
51,Himachal Pradesh,1800,Bharti Airtel,"1721.1-1726.1,1726.3-1726.9,1731.3-1731.7,1738.3-1739.9,1761.1-1763.7,5.0,0.6,0.4,1.6,2.6",1738.3-1739.9
52,Himachal Pradesh,1800,Bharti Airtel,"1721.1-1726.1,1726.3-1726.9,1731.3-1731.7,1738.3-1739.9,1761.1-1763.7,5.0,0.6,0.4,1.6,2.6",1761.1-1763.7
53,Jammu & Kashmir,1800,Aircel,"1724.7-1725.5,1730.1-1731.1,0.8,1.0",1724.7-1725.5
54,Jammu & Kashmir,1800,Aircel,"1724.7-1725.5,1730.1-1731.1,0.8,1.0",1730.1-1731.1
55,Jammu & Kashmir,1800,Bharti Airtel,"1722.1-1724.7,2.6",1722.1-1724.7
56,Karnataka,1800,Bharti Airtel,"1714.7-1715.1,1723.5-1728.5,1728.7-1729.9,1744.3-1746.5,0.4,5.0,1.2,2.2",1714.7-1715.1
57,Karnataka,1800,Bharti Airtel,"1714.7-1715.1,1723.5-1728.5,1728.7-1729.9,1744.3-1746.5,0.4,5.0,1.2,2.2",1723.5-1728.5
58,Karnataka,1800,Bharti Airtel,"1714.7-1715.1,1723.5-1728.5,1728.7-1729.9,1744.3-1746.5,0.4,5.0,1.2,2.2",1728.7-1729.9
59,Karnataka,1800,Bharti Airtel,"1714.7-1715.1,1723.5-1728.5,1728.7-1729.9,1744.3-1746.5,0.4,5.0,1.2,2.2",1744.3-1746.5
